Category,id,title,resource1,resource1_url,resource2,resource2_url,p1,p1_url,p2,p2_url,c1,c1_url,c2,c2_url,diff
Category: Data Structures,240,MOs with DSU,,,,,1,https://www.codechef.com/problems/GERALD07,2,https://codeforces.com/blog/entry/69394,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/MOs%20with%20DSU.cpp,,,2
Category: Data Structures,241,Sweepline MO,1,https://codeforces.com/blog/entry/83248,,,,,,,,,,,3
Category: Data Structures,242,Trie,1,https://threadsiiithyderabad.quora.com/Tutorial-on-Trie-and-example-problems,,,1,https://www.spoj.com/problems/SUBXOR/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Trie.cpp,,,1
Category: Data Structures,243,Persistent Trie,1,https://www.youtube.com/watch?v=0FgKhpyBTcw,,,1,https://www.codechef.com/MAY17/problems/GPD,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Persistent%20Trie.cpp,,,2
Category: Data Structures,244,DSU,1,https://cp-algorithms.com/data_structures/disjoint_set_union.html,,,1,https://cp-algorithms.com/data_structures/disjoint_set_union.html#toc-tgt-18,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/DSU.cpp,,,1
Category: Data Structures,245,Reachability Tree/ DSU Tree,1,https://codeforces.com/blog/entry/85714,,,1,https://www.codechef.com/problems/TULIPS,2,https://codeforces.com/contest/1416/problem/D,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Reachability%20Tree.cpp,,,2
Category: Data Structures,246,DSU with Rollbacks,,,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/DSU%20with%20Rollbacks.cpp,,,1
Category: Data Structures,247,Partially Persistent DSU,1,https://codeforces.com/blog/entry/75369,,,1,https://codeforces.com/gym/100814/problem/C,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/DSU%20Partially%20Persistent.cpp,,,3
Category: Data Structures,248,Persistent DSU,,,,,1,https://judge.yosupo.jp/problem/persistent_unionfind,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Persistent%20UnionFind.cpp,,,3
Category: Data Structures,249,Augmented DSU,1,https://medium.com/@alphawizard/augmented-dsu-f2c974926cb2,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Augmented%20DSU.cpp,,,2
Category: Data Structures,250,Queue Undo Trick,1,https://codeforces.com/blog/entry/83467,,,1,https://codeforces.com/contest/1386/problem/C,2,https://codeforces.com/contest/1442/problem/D,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Queue%20Undo%20Trick.cpp,,,3
Category: Data Structures,251,Dynamic Connectivity Problem,1,https://codeforces.com/blog/entry/15296,,,1,https://codeforces.com/gym/100551/problem/A,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Dynamic%20Connectivity%20Problem.cpp,,,2
Category: Data Structures,252,DSU on Tree,1,https://codeforces.com/blog/entry/67696,,,1,https://codeforces.com/contest/600/problem/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/DSU%20on%20Tree.cpp,,,1
Category: Data Structures,253,SQRT Decomposition,1,https://usaco.guide/plat/sqrt?lang=cpp,,,1,https://usaco.guide/plat/sqrt?lang=cpp#set-b,,,,,,,1
Category: Data Structures,254,SQRT Decomposition Split and Build Technique,,,,,1,https://www.e-olymp.com/en/problems/2961,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Square%20Root%20Decomposition%20With%20Reverse%20Update.cpp,,,3
Category: Data Structures,255,Centroid Decomposition,1,https://tanujkhattar.wordpress.com/2016/01/10/centroid-decomposition-of-a-tree/,,,1,https://codeforces.com/blog/entry/52492,,,,,,,1
Category: Data Structures,256,Persistent Centroid Decomposition,,,,,1,https://codeforces.com/contest/757/problem/G,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Centroid%20Decomposition%20Persistent.cpp,,,3
Category: Data Structures,257,Binarizing a Tree,,,,,1,https://codeforces.com/contest/757/problem/G,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Binarizing%20a%20Tree.cpp,,,1
Category: Data Structures,258,HLD ft Subtrees and Path Query,1,https://codeforces.com/blog/entry/81317,2,https://codeforces.com/blog/entry/53170,1,https://www.hackerrank.com/challenges/subtrees-and-paths/problem,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/HLD.cpp,,,2
Category: Data Structures,259,HLD ft Persistent Lazy Propagation,,,,,1,https://www.codechef.com/problems/FIBTREE,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/HLD%20with%20Persistent%20Lazy%20Propagation.cpp,,,3
Category: Data Structures,260,LCT,1,https://codeforces.com/blog/entry/80383,,,1,https://www.codechef.com/problems/QTREE6,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Link%20Cut%20Tree.cpp,,,2
Category: Data Structures,261,Treap,1,https://cp-algorithms.com/data_structures/treap.html,,,1,https://cp-algorithms.com/data_structures/treap.html#toc-tgt-8,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Treap.cpp,,,2
Category: Data Structures,262,Implicit Treap,1,https://cp-algorithms.com/data_structures/treap.html#toc-tgt-6,,,1,https://cp-algorithms.com/data_structures/treap.html#toc-tgt-8,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Implicit%20Treap.cpp,,,2
Category: Data Structures,263,Persistent Treap,,,,,1,https://vjudge.net/problem/UVA-12538,2,https://www.e-olymp.com/en/problems/2957,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Treap%20persistent.cpp,,,3
Category: Data Structures,264,SQRT Tree,1,https://cp-algorithms.com/data_structures/sqrt-tree.html,,,1,https://www.codechef.com/NOV17/problems/SEGPROD,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/SQRT%20Tree.cpp,,,3
Category: Data Structures,265,KD Tree,1,https://www.cs.cmu.edu/~ckingsf/bioinfo-lectures/kdtrees.pdf,,,1,https://codeforces.com/blog/entry/21077,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/KD%20Tree.cpp,,,2
Category: Data Structures,266,Cartesian Tree,1,https://en.wikipedia.org/wiki/Cartesian_tree,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Cartesian%20Tree.cpp,,,2
Category: Data Structures,267,Rope,1,https://codeforces.com/blog/entry/10355,,,1,https://informatics.msk.ru/mod/statements/view3.php?id=1974&chapterid=2791#1,,,,,,,1
Category: Data Structures,268,Monotonous Queue,1,https://ali-ibrahim137.github.io/competitive/programming/2019/12/08/Monotonic-Queue.html,,,1,https://codeforces.com/contest/846/problem/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Monotonous%20Queue.cpp,,,1
Category: Data Structures,269,BST using STL,1,https://www.geeksforgeeks.org/binary-search-tree-data-structure/,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/BST%20using%20STL.cpp,,,1
Category: Data Structures,270,Persistent BST,1,https://codeforces.com/blog/entry/84017?#comment-717698,,,,,,,,,,,3
Category: Data Structures,271,Ordered Set,1,https://codeforces.com/blog/entry/11080,2,https://codeforces.com/blog/entry/11275,1,https://acm.timus.ru/problem.aspx?space=1&num=1414,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Ordered%20Set.cpp,,,1
Category: Data Structures,272,Static to Dynamic Trick,1,https://codeforces.com/blog/entry/48417,2,https://codeforces.com/blog/entry/10725?#comment-160742,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Static%20to%20Dynamic%20Trick.cpp,,,2
Category: Data Structures,273,Interval Set,,,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Interval%20Set.cpp,,,2
Category: Data Structures,274,Divide and Conquer on Queries,,,,,1,https://codeforces.com/gym/101991/problem/G,,,,,,,2
Category: Data Structures,275,Divide and Conquer for Insert and Query Problems,1,https://rezwanarefin01.github.io/posts/dnc-insert-query/,,,1,https://www.spoj.com/problems/LIS2/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Divide%20and%20Conquer%20for%20Insert%20and%20Query%20Problems.cpp,,,2
Category: Data Structures,276,Venice Technique,1,https://codeforces.com/blog/entry/58316,,,1,https://codeforces.com/contest/842/problem/D,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Venice%20Technique.cpp,,,1
Category: Data Structures,277,Permutation Tree,1,https://codeforces.com/blog/entry/78898,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Permutation%20Tree.cpp,,,3
Category: Data Structures,278,Persistent Array,,,,,1,https://judge.yosupo.jp/problem/persistent_queue,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Persistent%20Array.cpp,,,1
Category: Data Structures,279,Persistent Queue,,,,,1,https://judge.yosupo.jp/problem/persistent_queue,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Persistent%20Queue.cpp,,,3
Category: Data Structures,280,Persistent Meldable Heap,1,https://qiita.com/hotman78/items/42534a01c4bd05ed5e1e,,,1,https://judge.yosupo.jp/problem/k_shortest_walk,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Persistent%20Meldable%20Heap.cpp,,,2
Category: Data Structures,281,Top Tree,1,https://di.ku.dk/forskning/Publikationer/tekniske_rapporter/tekniske-rapporter-1998/98-17.pdf,,,1,https://codeforces.com/gym/102979/problem/A,,,code,https://github.com/ecnerwala/cp-book/blob/master/src/top_tree.hpp,,,3
Category: Data Structures,282,PQ Tree,1,https://codeforces.com/blog/entry/93018?#comment-820809,,,1,https://codeforces.com/contest/1552/problem/I,,,,,,,3
Category: Data Structures,283,Link Cut Cactus,1,https://blog.csdn.net/VFleaKing/article/details/80748052,,,,,,,,,,,3
Category: Data Structures,284,HDLT,1,https://github.com/koosaga/olympiad/blob/master/Library/codes/graph_etc/euler_tour_tree_HDLT.cpp,,,,,,,,,,,3
Category: Strings,285,KMP,1,https://cp-algorithms.com/string/prefix-function.html,,,1,https://cp-algorithms.com/string/prefix-function.html#toc-tgt-13,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Strings/KMP.cpp,,,1
Category: Strings,286,Prefix Automaton,1,https://cp-algorithms.com/string/prefix-function.html#toc-tgt-12,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Strings/Prefix%20Automaton.cpp,,,1
Category: Strings,287,Z algorithm,1,https://cp-algorithms.com/string/z-function.html,,,1,https://cp-algorithms.com/string/z-function.html#toc-tgt-10,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Strings/Z%20Algorithm.cpp,,,1
Category: Strings,288,Aho Corasick,1,https://cp-algorithms.com/string/aho_corasick.html,,,1,https://cp-algorithms.com/string/aho_corasick.html#toc-tgt-7,2,https://codeforces.com/contest/163/problem/E,code,https://github.com/ShahjalalShohag/code-library/blob/master/Strings/Aho%20Corasick.cpp,,,1
